fixed_acidity,volatile_acidity,citric_acid,residual_sugar,alcohol,free_sulfur_dioxide
12.5,0.56,0.49,2.4,10.9,5
11.8,0.26,0.52,1.8,10.2,6
8.1,0.87,0,3.3,9.8,26
7.9,0.35,0.46,3.6,12.8,15
6.9,0.54,0.04,3,9.4,7
11.5,0.18,0.51,4,10.1,4
7.9,0.545,0.06,4,10.7,27
11.5,0.18,0.51,4,10.1,4
10.9,0.37,0.58,4,10.1,17
8.4,0.715,0.2,2.4,9.4,10
7.5,0.65,0.18,7,9.4,27
7.9,0.545,0.06,4,10.7,27
6.9,0.54,0.04,3,9.4,7
11.5,0.18,0.51,4,10.1,4
10.3,0.32,0.45,6.4,12.6,5
8.9,0.4,0.32,5.6,10.5,10
11.4,0.26,0.44,3.6,9.3,6
7.7,0.27,0.68,3.5,9.9,5
7.6,0.52,0.12,3,9.1,12
8.9,0.4,0.32,5.6,10.5,10
9.9,0.59,0.07,3.4,9.8,32
9.9,0.59,0.07,3.4,9.8,32
12,0.45,0.55,2,10.3,25
7.5,0.4,0.12,3,10.3,29
8.7,0.52,0.09,2.5,10.6,20
11.6,0.42,0.53,3.3,9.2,33
8.7,0.52,0.09,2.5,10.6,20
11,0.2,0.48,2,10.5,6
10.4,0.55,0.23,2.7,10.3,18
6.9,0.36,0.25,2.4,10.1,5
13.3,0.34,0.52,3.2,9.5,17
10.8,0.5,0.46,2.5,9.5,5
10.6,0.83,0.37,2.6,9.9,26
7.1,0.63,0.06,2,9.6,8
7.2,0.65,0.02,2.3,9.7,5
6.9,0.67,0.06,2.1,9.6,8
7.5,0.53,0.06,2.6,10.7,20
11.1,0.18,0.48,1.5,10.1,7
8.3,0.705,0.12,2.6,10,12
7.4,0.67,0.12,1.6,9.5,5
8.4,0.65,0.6,2.1,9.2,12
10.3,0.53,0.48,2.5,9.3,6
7.6,0.62,0.32,2.2,9.4,7
10.3,0.41,0.42,2.4,9.5,6
10.3,0.43,0.44,2.4,9.5,5
7.4,0.29,0.38,1.7,9.5,9
10.3,0.53,0.48,2.5,9.3,6
7.9,0.53,0.24,2,9.4,15
9,0.46,0.31,2.8,9.5,19
8.6,0.47,0.3,3,9.4,30
7.4,0.36,0.29,2.6,11,26
7.1,0.35,0.29,2.5,11,20
9.6,0.56,0.23,3.4,10.1,37
9.6,0.77,0.12,2.9,10.4,30
9.8,0.66,0.39,3.2,11.5,21
9.6,0.77,0.12,2.9,10.4,30
9.8,0.66,0.39,3.2,11.5,21
9.3,0.61,0.26,3.4,9.7,25
7.8,0.62,0.05,2.3,9.3,6
10.3,0.59,0.42,2.8,9.5,35
10,0.49,0.2,11,9.2,13
10,0.49,0.2,11,9.2,13
11.6,0.53,0.66,3.65,11.5,6
10.3,0.44,0.5,4.5,11.5,5
13.4,0.27,0.62,2.6,9.7,6
10.7,0.46,0.39,2,9.5,7
10.2,0.36,0.64,2.9,12.5,10
10.2,0.36,0.64,2.9,12.5,10
8,0.58,0.28,3.2,9.4,21
8.4,0.56,0.08,2.1,11,16
7.9,0.65,0.01,2.5,11.7,17
11.9,0.695,0.53,3.4,12.2,7
8.9,0.43,0.45,1.9,12.5,6
7.8,0.43,0.32,2.8,10.3,29
12.4,0.49,0.58,3,11.5,28
12.5,0.28,0.54,2.3,9.8,12
12.2,0.34,0.5,2.4,9.2,10
10.6,0.42,0.48,2.7,11.3,5
10.9,0.39,0.47,1.8,9.8,6
10.9,0.39,0.47,1.8,9.8,6
11.9,0.57,0.5,2.6,10.7,6
7,0.685,0,1.9,9.9,40
6.6,0.815,0.02,2.7,12.3,17
13.8,0.49,0.67,3,12,6
9.6,0.56,0.31,2.8,10,15
9.1,0.785,0,2.6,9.4,11
10.7,0.67,0.22,2.7,9.9,17
9.1,0.795,0,2.6,9.4,11
7.7,0.665,0,2.4,9.3,8
13.5,0.53,0.79,4.8,13,23
6.1,0.21,0.4,1.4,11.9,40.5
6.7,0.75,0.01,2.4,12.8,17
11.5,0.41,0.52,3,11,29
10.5,0.42,0.66,2.95,11.7,12
11.9,0.43,0.66,3.1,10.4,10
12.6,0.38,0.66,2.6,9.8,10
8.2,0.7,0.23,2,9.4,14
8.6,0.45,0.31,2.6,9.9,21
11.9,0.58,0.66,2.5,10,6
12.5,0.46,0.63,2,10.2,6
12.8,0.615,0.66,5.8,10,7
10,0.42,0.5,3.4,11.8,7
12.8,0.615,0.66,5.8,10,7
10.4,0.575,0.61,2.6,9,11
10.3,0.34,0.52,2.8,9.4,15
9.4,0.27,0.53,2.4,12,6
6.9,0.765,0.02,2.3,9.9,35
7.9,0.24,0.4,1.6,8.7,11
9.1,0.28,0.48,1.8,10.6,26
7.4,0.55,0.22,2.2,9.2,12
14,0.41,0.63,3.8,10.8,6
11.5,0.54,0.71,4.4,11.8,6
11.5,0.45,0.5,3,11,19
9.4,0.27,0.53,2.4,12,6
11.4,0.625,0.66,6.2,13.3,6
8.3,0.42,0.38,2.5,10.8,24
8.3,0.26,0.42,2,9.4,11
13.7,0.415,0.68,2.9,10,17
8.3,0.26,0.42,2,9.4,11
8.3,0.26,0.42,2,9.4,11
7.7,0.51,0.28,2.1,9.2,23
7.4,0.63,0.07,2.4,9.7,11
7.8,0.54,0.26,2,9.2,23
8.3,0.66,0.15,1.9,9.6,17
7.8,0.46,0.26,1.9,9.2,23
9.6,0.38,0.31,2.5,10,16
5.6,0.85,0.05,1.4,12.9,12
13.7,0.415,0.68,2.9,10,17
9.5,0.37,0.52,2,9.5,6
8.4,0.665,0.61,2,9.1,13
12.7,0.6,0.65,2.3,9.9,6
12,0.37,0.76,4.2,13,7
6.6,0.735,0.02,7.9,9.9,68
11.5,0.59,0.59,2.6,11,13
11.5,0.59,0.59,2.6,11,13
8.7,0.765,0.22,2.3,9.4,9
6.6,0.735,0.02,7.9,9.9,68
7.7,0.26,0.3,1.7,10.8,20
12.2,0.48,0.54,2.6,10.5,19
11.4,0.6,0.49,2.7,10.5,10
7.7,0.69,0.05,2.7,9.1,15
8.7,0.31,0.46,1.4,10.1,11
9.8,0.44,0.47,2.5,10.8,9
12,0.39,0.66,3,10.8,12
10.4,0.34,0.58,3.7,11.3,6
12.5,0.46,0.49,4.5,9.6,26
9,0.43,0.34,2.5,9.5,26
9.1,0.45,0.35,2.4,9.5,23
7.1,0.735,0.16,1.9,9.3,15
9.9,0.4,0.53,6.7,11.7,6
8.8,0.52,0.34,2.7,9.5,24
8.6,0.725,0.24,6.6,9.3,31
10.6,0.48,0.64,2.2,11.7,6
7,0.58,0.12,1.9,10.5,34
11.9,0.38,0.51,2,10.4,7
6.8,0.77,0,1.8,9.9,34
9.5,0.56,0.33,2.4,11.8,35
6.6,0.84,0.03,2.3,12.3,32
7.7,0.96,0.2,2,10.9,15
10.5,0.24,0.47,2.1,11,6
7.7,0.96,0.2,2,10.9,15
6.6,0.84,0.03,2.3,12.3,32
6.4,0.67,0.08,2.1,11.4,19
9.5,0.78,0.22,1.9,10.6,6
9.1,0.52,0.33,1.3,9.3,9
12.8,0.84,0.63,2.4,10.4,13
10.5,0.24,0.47,2.1,11,6
7.8,0.55,0.35,2.2,9.2,21
11.9,0.37,0.69,2.3,12.8,12
12.3,0.39,0.63,2.3,9.5,6
10.4,0.41,0.55,3.2,9.9,22
12.3,0.39,0.63,2.3,9.5,6
8,0.67,0.3,2,10.2,38
11.1,0.45,0.73,3.2,11.2,6
10.4,0.41,0.55,3.2,9.9,22
7,0.62,0.18,1.5,9.3,7
12.6,0.31,0.72,2.2,9.8,6
11.9,0.4,0.65,2.15,11.3,7
15.6,0.685,0.76,3.7,11.2,6
10,0.44,0.49,2.7,11.6,11
5.3,0.57,0.01,1.7,12.5,5
9.5,0.735,0.1,2.1,10.1,6
12.5,0.38,0.6,2.6,10.5,31
9.3,0.48,0.29,2.1,11.2,6
8.6,0.53,0.22,2,10.2,7
11.9,0.39,0.69,2.8,10.8,17
11.9,0.39,0.69,2.8,10.8,17
8.4,0.37,0.53,1.8,9.1,9
6.8,0.56,0.03,1.7,10,18
10.4,0.33,0.63,2.8,11.2,5
7,0.23,0.4,1.6,11.1,21
11.3,0.62,0.67,5.2,13.4,6
8.9,0.59,0.39,2.3,10.3,5
9.2,0.63,0.21,2.7,9.6,29
10.4,0.33,0.63,2.8,11.2,5
11.6,0.58,0.66,2.2,9,10
9.2,0.43,0.52,2.3,11.3,14
8.3,0.615,0.22,2.6,9.3,6
11,0.26,0.68,2.55,11.8,10
8.1,0.66,0.7,2.2,9,25
11.5,0.315,0.54,2.1,9.2,5
10,0.29,0.4,2.9,9.7,10
10.3,0.5,0.42,2,11.5,21
8.8,0.46,0.45,2.6,14,7
11.4,0.36,0.69,2.1,9.2,6
8.7,0.82,0.02,1.2,9.8,36
13,0.32,0.65,2.6,10.6,15
9.6,0.54,0.42,2.4,11.4,25
12.5,0.37,0.55,2.6,10.4,25
9.9,0.35,0.55,2.1,10.6,5
10.5,0.28,0.51,1.7,9.4,10
9.6,0.68,0.24,2.2,10.2,5
9.3,0.27,0.41,2,9.7,6
10.4,0.24,0.49,1.8,11,6
9.6,0.68,0.24,2.2,10.2,5
9.4,0.685,0.11,2.7,10.1,6
10.6,0.28,0.39,15.5,9.2,6
9.4,0.3,0.56,2.8,11.7,6
10.6,0.36,0.59,2.2,9.4,6
10.6,0.36,0.6,2.2,9.4,7
10.6,0.44,0.68,4.1,13.4,6
10.2,0.67,0.39,1.9,10,6
10.2,0.67,0.39,1.9,10,6
10.2,0.645,0.36,1.8,10,5
11.6,0.32,0.55,2.8,10.8,35
9.3,0.39,0.4,2.6,10.2,10
9.3,0.775,0.27,2.8,10.6,24
9.2,0.41,0.5,2.5,13.3,12
8.9,0.4,0.51,2.6,13.4,13
8.7,0.69,0.31,3,11.6,23
6.5,0.39,0.23,8.3,12.1,28
10.7,0.35,0.53,2.6,11,5
7.8,0.52,0.25,1.9,9,14
7.2,0.34,0.32,2.5,11.1,43
10.7,0.35,0.53,2.6,11,5
8.7,0.69,0.31,3,11.6,23
7.8,0.52,0.25,1.9,9,14
10.4,0.44,0.73,6.55,12,38
10.4,0.44,0.73,6.55,12,38
10.5,0.26,0.47,1.9,10.9,6
10.5,0.24,0.42,1.8,10.8,6
10.2,0.49,0.63,2.9,12.5,10
10.4,0.24,0.46,1.8,10.8,6
11.2,0.67,0.55,2.3,9.5,6
10,0.59,0.31,2.2,10.2,26
13.3,0.29,0.75,2.8,11.4,23
12.4,0.42,0.49,4.6,9.5,19
10,0.59,0.31,2.2,10.2,26
10.7,0.4,0.48,2.1,9.7,15
10.5,0.51,0.64,2.4,11.8,6
10.5,0.51,0.64,2.4,11.8,6
8.5,0.655,0.49,6.1,9.3,34
12.5,0.6,0.49,4.3,11.9,5
10.4,0.61,0.49,2.1,8.4,5
10.9,0.21,0.49,2.8,11.7,11
7.3,0.365,0.49,2.5,11,39
9.8,0.25,0.49,2.7,10,15
7.6,0.41,0.49,2,9.1,16
8.2,0.39,0.49,2.3,9.8,47
9.3,0.4,0.49,2.5,9.4,38
9.2,0.43,0.49,2.4,9.5,23
10.4,0.64,0.24,2.8,9.9,29
7.3,0.365,0.49,2.5,11,39
7,0.38,0.49,2.5,11.4,33
8.2,0.42,0.49,2.6,8.7,32
9.9,0.63,0.24,2.4,9.4,6
9.1,0.22,0.24,2.1,10.3,1
11.9,0.38,0.49,2.7,10.3,12
11.9,0.38,0.49,2.7,10.3,12
10.3,0.27,0.24,2.1,12.8,15
10,0.48,0.24,2.7,10,13
9.1,0.22,0.24,2.1,10.3,1
9.9,0.63,0.24,2.4,9.4,6
8.1,0.825,0.24,2.1,10.7,5
12.9,0.35,0.49,5.8,12,5
11.2,0.5,0.74,5.15,11.2,5
9.2,0.59,0.24,3.3,9.6,20
9.5,0.46,0.49,6.3,11,5
9.3,0.715,0.24,2.1,9.9,5
11.2,0.66,0.24,2.5,11,16
14.3,0.31,0.74,1.8,8.4,6
9.1,0.47,0.49,2.6,9.1,38
7.5,0.55,0.24,2,9.5,10
10.6,0.31,0.49,2.5,10.7,6
12.4,0.35,0.49,2.6,10.4,27
9,0.53,0.49,1.9,9.4,6
6.8,0.51,0.01,2.1,9.5,9
9.4,0.43,0.24,2.8,10,14
9.5,0.46,0.24,2.7,10,14
5,1.04,0.24,1.6,11.5,32
15.5,0.645,0.49,4.2,11.1,10
15.5,0.645,0.49,4.2,11.1,10
10.9,0.53,0.49,4.6,11.7,10
15.6,0.645,0.49,4.2,11.1,10
10.9,0.53,0.49,4.6,11.7,10
13,0.47,0.49,4.3,12.7,6
12.7,0.6,0.49,2.8,11.4,5
9,0.44,0.49,2.4,9.2,26
9,0.54,0.49,2.9,9.2,41
7.6,0.29,0.49,2.7,10.1,25
13,0.47,0.49,4.3,12.7,6
12.7,0.6,0.49,2.8,11.4,5
8.7,0.7,0.24,2.5,9,5
8.7,0.7,0.24,2.5,9,5
9.8,0.5,0.49,2.6,10.7,5
6.2,0.36,0.24,2.2,11.7,19
11.5,0.35,0.49,3.3,11,10
6.2,0.36,0.24,2.2,11.7,19
10.2,0.24,0.49,2.4,10.4,10
10.5,0.59,0.49,2.1,9.6,14
10.6,0.34,0.49,3.2,10,20
12.3,0.27,0.49,3.1,10.2,28
9.9,0.5,0.24,2.3,10,6
8.8,0.44,0.49,2.8,9.5,18
8.8,0.47,0.49,2.9,9.8,17
10.6,0.31,0.49,2.2,9.8,18
12.3,0.5,0.49,2.2,9.6,5
12.3,0.5,0.49,2.2,9.6,5
11.7,0.49,0.49,2.2,9.2,5
12,0.28,0.49,1.9,9.9,10
11.8,0.33,0.49,3.4,10.7,54
7.6,0.51,0.24,2.4,9.6,8
11.1,0.31,0.49,2.7,10.6,16
7.3,0.73,0.24,1.9,9.3,18
5,0.42,0.24,2,14,19
10.2,0.29,0.49,2.6,10.5,5
9,0.45,0.49,2.6,9.7,21
6.6,0.39,0.49,1.7,11.5,23
9,0.45,0.49,2.6,9.7,21
9.9,0.49,0.58,3.5,9,9
7.9,0.72,0.17,2.6,9.5,20
8.9,0.595,0.41,7.9,9.3,30
12.4,0.4,0.51,2,9.3,6
11.9,0.58,0.58,1.9,10,5
8.5,0.585,0.18,2.1,9.8,5
12.7,0.59,0.45,2.3,9.3,11
8.2,0.915,0.27,2.1,10,7
13.2,0.46,0.52,2.2,9,12
7.7,0.835,0,2.6,9.3,6
13.2,0.46,0.52,2.2,9,12
8.3,0.58,0.13,2.9,9.1,14
8.3,0.6,0.13,2.6,9.2,6
9.4,0.41,0.48,4.6,12.2,10
8.8,0.48,0.41,3.3,10.5,26
10.1,0.65,0.37,5.1,10.4,11
6.3,0.36,0.19,3.2,12.7,15
8.8,0.24,0.54,2.5,9.2,25
13.2,0.38,0.55,2.7,9.4,5
7.5,0.64,0,2.4,10,18
8.2,0.39,0.38,1.5,9.8,10
9.2,0.755,0.18,2.2,10.2,10
9.6,0.6,0.5,2.3,9.7,28
9.6,0.6,0.5,2.3,9.7,28
11.5,0.31,0.51,2.2,9.8,14
11.4,0.46,0.5,2.7,10.2,4
11.3,0.37,0.41,2.3,9.3,6
8.3,0.54,0.24,3.4,9.4,16
8.2,0.56,0.23,3.4,9.4,14
10,0.58,0.22,1.9,9.5,9
7.9,0.51,0.25,2.9,12.1,21
6.8,0.69,0,5.6,10.2,21
6.8,0.69,0,5.6,10.2,21
8.8,0.6,0.29,2.2,9.1,5
8.8,0.6,0.29,2.2,9.1,5
8.7,0.54,0.26,2.5,9.3,7
7.6,0.685,0.23,2.3,9.3,20
8.7,0.54,0.26,2.5,9.3,7
10.4,0.28,0.54,2.7,9.5,5
7.6,0.41,0.14,3,10.5,21
10.1,0.935,0.22,3.4,11.3,11
7.9,0.35,0.21,1.9,9.5,46
8.7,0.84,0,1.4,9.7,24
9.6,0.88,0.28,2.4,9.4,30
9.5,0.885,0.27,2.3,9.4,31
7.7,0.915,0.12,2.2,10.2,7
8.9,0.29,0.35,1.9,10.3,25
9.9,0.54,0.45,2.3,9.4,16
9.5,0.59,0.44,2.3,9.5,21
9.9,0.54,0.45,2.3,9.4,16
9.5,0.59,0.44,2.3,9.5,21
9.9,0.54,0.45,2.3,9.4,16
7.8,0.64,0.1,6,10.1,5
7.3,0.67,0.05,3.6,10.1,6
8.3,0.845,0.01,2.2,11,5
8.7,0.48,0.3,2.8,11.2,10
6.7,0.42,0.27,8.6,11.3,24
10.7,0.43,0.39,2.2,9.6,8
9.8,0.88,0.25,2.5,11.2,35
15.9,0.36,0.65,7.5,14.9,22
9.4,0.33,0.59,2.8,12,9
8.6,0.47,0.47,2.4,9.5,7
9.7,0.55,0.17,2.9,9.4,20
10.7,0.43,0.39,2.2,9.6,8
